accel_x[m/s^2],accel_y[m/s^2],accel_z[m/s^2],gyro_x[rad/s],gyro_y[rad/s],gyro_z[rad/s],mag_x[uT],mag_y[uT],mag_z[uT]
-2.51,-1.72,-53.56,-2.51,-1.72,-53.56,63.56,3.76,2.24
0.68,0.16,-48.97,0.68,0.16,-48.97,64.62,4.12,0.86
0.01,-3.5,-46.16,0.01,-3.5,-46.16,64.62,4.12,2.58
-3.07,-4.53,-46.44,-3.07,-4.53,-46.44,63,3.58,3.1
-2.54,-2.32,-48.09,-2.54,-2.32,-48.09,64.75,5.38,2.06
0.98,1.46,-50.72,0.98,1.46,-50.72,65.5,3.22,1.03
0.08,0.56,-52.75,0.08,0.56,-52.75,64.75,2.15,2.06
-4.06,-10.6,-52.22,-4.06,-10.6,-52.22,64.62,1.97,2.58
-1.7,-5.39,-47.94,-1.7,-5.39,-47.94,64.62,4.84,2.24
4.29,-1.03,-47.25,4.29,-1.03,-47.25,64.06,2.51,1.72
3.6,-6.93,-47.12,3.6,-6.93,-47.12,64.62,2.69,1.21
2.96,-5.92,-50.41,2.96,-5.92,-50.41,64.44,0.36,2.41
1.38,9.23,-53.41,1.38,9.23,-53.41,65.5,1.79,1.03
1.89,1.28,-49.81,1.89,1.28,-49.81,62.66,0,1.03
-0.45,4.34,-44.59,-0.45,4.34,-44.59,64.62,0.18,2.58
1.25,-4.85,-47.59,1.25,-4.85,-47.59,64.06,1.43,3.1
1.34,-3.15,-49.75,1.34,-3.15,-49.75,64.25,1.61,2.58
0.41,-4.34,-53.66,0.41,-4.34,-53.66,64.94,1.97,1.89
2.19,3.11,-48.94,2.19,3.11,-48.94,63.72,1.43,1.38
4.22,-3.63,-49.53,4.22,-3.63,-49.53,65.12,1.79,3.44
1.47,-4.53,-50.66,1.47,-4.53,-50.66,64.25,3.76,1.55
2.15,-4.44,-54.19,2.15,-4.44,-54.19,64.75,1.79,2.06
0.94,7.91,-47.41,0.94,7.91,-47.41,64.25,3.04,2.58
3.8,0.14,-50.59,3.8,0.14,-50.59,64.06,1.79,3.79
0.54,5.31,-52.44,0.54,5.31,-52.44,63.56,5.2,2.24
1.03,1.22,-54.38,1.03,1.22,-54.38,63.56,3.4,0.86
1.61,4.59,-46.53,1.61,4.59,-46.53,65.31,4.12,0.52
1.77,1.72,-46.97,1.77,1.72,-46.97,64.44,4.66,2.41
1.05,3.85,-47.69,1.05,3.85,-47.69,63.91,4.84,2.24
1.8,1.93,-51.84,1.8,1.93,-51.84,64.25,4.48,1.55
1.66,3.85,-49.5,1.66,3.85,-49.5,64.62,5.91,2.93
1.7,1.9,-48.34,1.7,1.9,-48.34,63.91,5.91,1.21
1.39,3.37,-49.38,1.39,3.37,-49.38,63,6.81,2.75
1.82,2.61,-52.97,1.82,2.61,-52.97,65.12,7.88,3.1
1.73,3.18,-48.19,1.73,3.18,-48.19,64.94,9.49,1.89
1.67,2.51,-46.41,1.67,2.51,-46.41,64.62,7.7,1.55
1.49,3.03,-48.62,1.49,3.03,-48.62,63,9.67,1.38
1.9,2.7,-51.84,1.9,2.7,-51.84,64.62,8.42,2.58
1.81,2.89,-46.94,1.81,2.89,-46.94,64.62,10.93,2.58
2.09,1.82,-43.72,2.09,1.82,-43.72,64.06,10.03,2.41
1.71,2.98,-44.62,1.71,2.98,-44.62,66.19,10.75,2.41
1.99,2.05,-47.81,1.99,2.05,-47.81,64.62,11.65,1.21
1.64,3.18,-47.47,1.64,3.18,-47.47,64.75,11.47,0.69
1.92,2.23,-42.38,1.92,2.23,-42.38,64.25,11.65,1.55
1.59,2.84,-44.5,1.59,2.84,-44.5,63,12.54,0.34
1.89,2.6,-48.16,1.89,2.6,-48.16,64.75,13.98,1.72
1.84,3.38,-48.44,1.84,3.38,-48.44,63.56,13.44,1.89
2.22,2.3,-42.25,2.22,2.3,-42.25,64.06,13.98,1.03
1.58,2.73,-44.09,1.58,2.73,-44.09,64.25,15.95,0.86
2.05,3.04,-49.19,2.05,3.04,-49.19,65.12,15.41,-1.03
2.05,3.04,-49.19,2.05,3.04,-49.19,65.12,15.41,-1.03
2.38,2.56,-47.75,2.38,2.56,-47.75,64.62,15.59,-0.17
2.31,2.77,-42.09,2.31,2.77,-42.09,64.06,16.48,1.03
1.91,2.77,-42.88,1.91,2.77,-42.88,65.88,17.92,0.69
2.23,2.31,-45.69,2.23,2.31,-45.69,63.72,17.56,0.34
2.12,3.52,-49,2.12,3.52,-49,63.19,18.45,0.17
2.29,2.42,-44.5,2.29,2.42,-44.5,64.75,18.62,-0.34
2.12,3.07,-42.59,2.12,3.07,-42.59,64.75,18.62,-0.69
2.21,2.63,-46.47,2.21,2.63,-46.47,64.94,18.09,1.21
2.32,3.37,-46.75,2.32,3.37,-46.75,64.75,17.56,-0.69
2.7,3.04,-41.91,2.7,3.04,-41.91,65.5,18.62,-1.03
2.16,2.5,-44.84,2.16,2.5,-44.84,65.5,18.62,-1.38
2.47,3.66,-49.25,2.47,3.66,-49.25,66.94,17.92,-2.06
2.61,2.58,-42.28,2.61,2.58,-42.28,67.12,17.73,-0.17
2.16,3.86,-42.5,2.16,3.86,-42.5,66.56,16.48,-0.69
2.27,2.97,-45.66,2.27,2.97,-45.66,66.75,18.09,-1.89
2.3,4.36,-46.38,2.3,4.36,-46.38,67.44,18.09,-2.58
2.92,3.22,-40.19,2.92,3.22,-40.19,68.31,16.12,-3.79
2.02,3.87,-42.72,2.02,3.87,-42.72,68.19,17.02,-3.96
2.85,3.9,-46.41,2.85,3.9,-46.41,66.94,17.2,-1.72
2.03,4.89,-46.72,2.03,4.89,-46.72,69.06,15.77,-2.75
2.2,3.57,-39.31,2.2,3.57,-39.31,68.88,16.66,-2.93
1.56,4.19,-40.56,1.56,4.19,-40.56,69.56,14.52,-2.58
2.34,4.52,-46.19,2.34,4.52,-46.19,69.44,13.98,-3.1
2.28,4.45,-43.12,2.28,4.45,-43.12,69.44,14.34,-3.1
1.95,4.99,-40.97,1.95,4.99,-40.97,68.5,14.16,-4.3
1.75,3.8,-43.06,1.75,3.8,-43.06,69.25,13.8,-3.62
1.58,5.85,-48.09,1.58,5.85,-48.09,69.94,13.8,-3.27
0,4.42,-39.72,0,4.42,-39.72,70.5,12.54,-2.75
1.47,4.82,-45.12,1.47,4.82,-45.12,70.31,11.65,-3.27
1.95,6.15,-47.75,1.95,6.15,-47.75,68.88,11.65,-3.27
1.2,4.84,-39.25,1.2,4.84,-39.25,71,12.01,-4.65
0.89,5.37,-42.41,0.89,5.37,-42.41,70.62,11.65,-2.24
1.87,6.68,-47.06,1.87,6.68,-47.06,69.25,10.21,-3.27
1.44,4.54,-39.19,1.44,4.54,-39.19,71,9.49,-3.27
1.44,5.18,-41.34,1.44,5.18,-41.34,72.25,8.96,-4.13
2.07,5.5,-46.12,2.07,5.5,-46.12,69.56,7.7,-2.93
1.94,4.68,-40.31,1.94,4.68,-40.31,69.94,7.7,-4.3
1.72,5.96,-42,1.72,5.96,-42,70.62,6.63,-3.62
1.58,5.82,-45.62,1.58,5.82,-45.62,70.31,5.55,-3.62
1.42,5.58,-41.47,1.42,5.58,-41.47,69.94,5.55,-4.99
2.16,4.93,-40.44,2.16,4.93,-40.44,69.44,6.81,-2.75
1.57,5.99,-46.28,1.57,5.99,-46.28,69.44,4.66,-2.41
1.15,5.78,-39.91,1.15,5.78,-39.91,68.31,3.58,-3.1
0.8,5.56,-41.5,0.8,5.56,-41.5,69.06,2.51,-2.06
1.16,6.27,-43.84,1.16,6.27,-43.84,68.5,1.97,-1.55
1.52,5.12,-38.09,1.52,5.12,-38.09,68.5,2.33,-2.58
1.28,4.37,-41.69,1.28,4.37,-41.69,69.06,1.79,-0.69
1.3,6.15,-46.03,1.3,6.15,-46.03,69.44,0.72,-1.38
1.53,4.93,-36.91,1.53,4.93,-36.91,65.5,1.08,-1.38
1.66,4.63,-41.31,1.66,4.63,-41.31,66.94,0.36,1.38
2.28,4.59,-41.5,2.28,4.59,-41.5,66.56,-1.43,-0.69
1.88,4.85,-40.41,1.88,4.85,-40.41,65.88,-2.51,0
2.71,4.7,-45.41,2.71,4.7,-45.41,65.5,-1.79,0
2.33,3.82,-39.69,2.33,3.82,-39.69,67.12,-1.97,0.86
2.28,4.59,-38.31,2.28,4.59,-38.31,63.56,-2.69,1.55
2.34,5.09,-44.53,2.34,5.09,-44.53,63.91,-2.33,1.21
1.96,3.74,-35.97,1.96,3.74,-35.97,63.38,-2.51,1.72
2.09,3.29,-42.28,2.09,3.29,-42.28,63.38,-2.87,2.41
2.18,4.84,-43.44,2.18,4.84,-43.44,61.41,-4.12,1.89
2.36,4.86,-37.09,2.36,4.86,-37.09,63,-3.58,1.72
1.62,3.12,-40.75,1.62,3.12,-40.75,61.06,-3.4,2.24
1.86,4.18,-37.28,1.86,4.18,-37.28,59.81,-2.15,4.48
1.9,3.86,-38.5,1.9,3.86,-38.5,61.94,-1.79,3.44
2.71,5.03,-44.03,2.71,5.03,-44.03,60.88,-2.15,3.44
2.35,3.44,-35.03,2.35,3.44,-35.03,60.53,-1.79,5.16
1.7,3.3,-39.41,1.7,3.3,-39.41,60.16,-1.08,6.54
2.63,3.8,-41.72,2.63,3.8,-41.72,60.34,-0.54,4.99
2.74,3.73,-35.78,2.74,3.73,-35.78,59.09,1.08,5.85
2.91,4.49,-45.69,2.91,4.49,-45.69,58.38,-0.36,5.51
2.97,3.51,-34.19,2.97,3.51,-34.19,58.91,0.18,8.09
2.64,2.91,-41,2.64,2.91,-41,58.56,3.04,4.3
2.63,2.94,-37.09,2.63,2.94,-37.09,57.5,0.9,7.75
2.74,3.02,-37.91,2.74,3.02,-37.91,56.78,1.25,8.09
2.59,2.93,-38.81,2.59,2.93,-38.81,57.31,2.51,8.95
2.29,3,-37.69,2.29,3,-37.69,56.06,1.25,7.06
1.98,2.92,-39.19,1.98,2.92,-39.19,55.53,1.43,7.23
1.44,2.84,-36.59,1.44,2.84,-36.59,55.53,-1.08,9.64
1.73,3.37,-43.44,1.73,3.37,-43.44,54.12,1.08,8.26
1.31,1.87,-35.81,1.31,1.87,-35.81,54.47,0.36,8.95
0.67,2.51,-38.31,0.67,2.51,-38.31,54.81,-0.36,9.98
0.61,1.78,-33.84,0.61,1.78,-33.84,51.97,0,8.26
0.48,2.13,-40.5,0.48,2.13,-40.5,53.22,0.9,9.47
0.47,1.94,-36.91,0.47,1.94,-36.91,52.69,-1.43,10.67
0.18,2.24,-35.12,0.18,2.24,-35.12,51.97,0.36,10.33
0.48,2.1,-37.03,0.48,2.1,-37.03,52.5,-1.25,9.47
0.14,1.99,-32.34,0.14,1.99,-32.34,52.34,-1.79,9.64
0.04,1.73,-38.38,0.04,1.73,-38.38,50.91,-2.87,11.36
-0.01,1.81,-33.09,-0.01,1.81,-33.09,50.19,-2.51,8.95
-0.04,2,-32.66,-0.04,2,-32.66,52.5,-2.33,9.81
-0.22,1.98,-33.66,-0.22,1.98,-33.66,49.47,-2.87,11.02
-0.35,1.96,-30.17,-0.35,1.96,-30.17,50.91,-2.87,9.64
-0.23,1.86,-29.77,-0.23,1.86,-29.77,48.94,-3.76,10.84
-0.29,1.67,-30.14,-0.29,1.67,-30.14,49.12,-5.02,10.67
-0.13,1.71,-29.05,-0.13,1.71,-29.05,47.88,-4.84,11.88
-0.3,1.49,-28.08,-0.3,1.49,-28.08,49.12,-3.58,11.02
-0.4,1.55,-26.81,-0.4,1.55,-26.81,48.06,-5.02,10.67
-0.21,1.63,-26.86,-0.21,1.63,-26.86,48.06,-6.81,10.33
-0.15,1.69,-25.38,-0.15,1.69,-25.38,47.69,-5.73,11.7
-0.53,1.21,-24.8,-0.53,1.21,-24.8,48.06,-7.17,9.64
-0.47,1.29,-24.56,-0.47,1.29,-24.56,45.94,-6.45,9.98
-0.49,1.46,-23.41,-0.49,1.46,-23.41,47,-6.81,10.33
-0.48,1.92,-23.08,-0.48,1.92,-23.08,47,-7.17,9.98
-0.36,1.59,-22.75,-0.36,1.59,-22.75,47.34,-10.03,9.3
-0.3,1.56,-22.36,-0.3,1.56,-22.36,45.75,-10.93,8.78
-0.39,1.36,-22.06,-0.39,1.36,-22.06,46.47,-10.21,9.12
-0.39,1.22,-21.91,-0.39,1.22,-21.91,45.22,-11.83,9.64
-0.24,1.06,-21.19,-0.24,1.06,-21.19,44.84,-10.75,9.64
-0.25,1.23,-20.14,-0.25,1.23,-20.14,44.84,-10.39,7.23
-0.24,1.25,-19.11,-0.24,1.25,-19.11,45.03,-12.36,9.81
-0.2,1.42,-18.05,-0.2,1.42,-18.05,45.75,-11.65,9.12
-0.07,1.12,-17.2,-0.07,1.12,-17.2,44.69,-11.65,7.4
-0.09,1.01,-16.97,-0.09,1.01,-16.97,45.94,-11.11,7.57
-0.01,1.13,-16.45,-0.01,1.13,-16.45,44.84,-13.62,8.95
0.01,0.99,-16.23,0.01,0.99,-16.23,45.56,-12.9,6.2
-0.17,1.12,-15.72,-0.17,1.12,-15.72,44.16,-12.9,7.92
-0.15,0.86,-14.91,-0.15,0.86,-14.91,44.69,-13.8,6.71
-0.01,1,-13.77,-0.01,1,-13.77,45.38,-15.23,6.71
0,0.77,-13.43,0,0.77,-13.43,45.22,-14.7,5.85
-0.1,0.61,-13.23,-0.1,0.61,-13.23,44.5,-15.05,8.61
-0.04,0.46,-12.4,-0.04,0.46,-12.4,44.69,-17.38,8.78
0.14,0.55,-12.43,0.14,0.55,-12.43,44.31,-15.95,7.75
0.1,0.28,-12.11,0.1,0.28,-12.11,44.16,-15.41,5.51
0.16,0.32,-11.55,0.16,0.32,-11.55,44.5,-15.77,7.23
0.31,0.07,-11.48,0.31,0.07,-11.48,45.38,-15.23,7.06
0.34,0.08,-11.16,0.34,0.08,-11.16,43.78,-16.84,6.54
0.34,0.17,-10.82,0.34,0.17,-10.82,45.56,-17.2,6.54
0.53,-0.06,-10.73,0.53,-0.06,-10.73,43.59,-17.73,4.99
0.55,0.04,-10.4,0.55,0.04,-10.4,43.59,-17.02,5.34
0.5,0.12,-10.07,0.5,0.12,-10.07,43.59,-17.73,6.02
0.45,0.34,-9.76,0.45,0.34,-9.76,42.91,-16.66,4.65
0.35,0.38,-9.73,0.35,0.38,-9.73,42.72,-18.27,5.51
0.27,0.22,-9.36,0.27,0.22,-9.36,44.31,-18.09,4.99
0.32,0.18,-9.28,0.32,0.18,-9.28,43.97,-19.53,3.96
0.45,0.18,-8.93,0.45,0.18,-8.93,42,-20.06,5.51
0.46,0.09,-8.67,0.46,0.09,-8.67,43.78,-18.62,6.54
0.48,0.21,-8.38,0.48,0.21,-8.38,42.38,-20.78,3.79
0.43,0.08,-8.45,0.43,0.08,-8.45,43.25,-19.17,3.62
0.46,0.1,0,0.46,0.1,0,42.72,-20.78,4.13
0.54,0,-7.84,0.54,0,-7.84,42,-20.42,4.48
0.59,-0.07,-7.67,0.59,-0.07,-7.67,41.81,-20.25,4.99
0.62,-0.05,-7.3,0.62,-0.05,-7.3,41.66,-21.14,4.48
0.57,-0.23,-7.21,0.57,-0.23,-7.21,42,-19.34,4.48
0.51,-0.12,-6.98,0.51,-0.12,-6.98,42.19,-20.97,4.65
0.64,-0.38,-6.87,0.64,-0.38,-6.87,42.53,-20.97,2.93
0.7,-0.41,-6.71,0.7,-0.41,-6.71,41.12,-20.61,4.3
0.73,-0.51,-6.48,0.73,-0.51,-6.48,40.94,-21.5,3.79
0.59,-0.51,-6.4,0.59,-0.51,-6.4,40.94,-20.78,3.1
0.51,-0.42,-6.04,0.51,-0.42,-6.04,41.12,-22.39,4.99
0.48,-0.38,-5.9,0.48,-0.38,-5.9,40.59,-22.22,3.44
0.46,-0.35,-5.81,0.46,-0.35,-5.81,40.03,-21.31,3.27
0.53,-0.33,-5.94,0.53,-0.33,-5.94,38.62,-21.67,4.65
0.34,-0.21,-5.29,0.34,-0.21,-5.29,38.81,-20.78,3.79
0.26,-0.34,-5.41,0.26,-0.34,-5.41,40.03,-20.61,4.3
0.39,-0.53,-5.21,0.39,-0.53,-5.21,38.28,-22.75,3.62
0.39,-0.49,-4.93,0.39,-0.49,-4.93,37.56,-22.75,3.62
0.23,-0.36,-5.07,0.23,-0.36,-5.07,37.91,-23.83,3.96
0.34,-0.45,-4.69,0.34,-0.45,-4.69,36.5,-23.83,2.93
0.45,-0.43,-4.59,0.45,-0.43,-4.59,36.31,-22.22,2.41
0.41,-0.62,-4.37,0.41,-0.62,-4.37,36.5,-22.03,4.3
0.47,-0.62,-4.05,0.47,-0.62,-4.05,35.41,-22.75,3.62
0.52,-0.61,-4.05,0.52,-0.61,-4.05,35.41,-23.11,2.93
0.4,-0.55,-3.87,0.4,-0.55,-3.87,34.88,-22.58,2.75
0.21,-0.69,-3.82,0.21,-0.69,-3.82,34.34,-23.11,2.93
0.1,-0.82,-3.22,0.1,-0.82,-3.22,35.25,-22.58,1.72
0.22,-1.01,-3.61,0.22,-1.01,-3.61,34.16,-23.3,3.79
0.27,-0.92,-3.63,0.27,-0.92,-3.63,32.22,-21.67,2.93
0.07,-0.96,-3.31,0.07,-0.96,-3.31,32.75,-22.22,3.44
0.01,-0.81,-3.16,0.01,-0.81,-3.16,33.81,-23.3,3.44
0.19,-0.92,-3.21,0.19,-0.92,-3.21,31.5,-23.47,4.3
0.28,-0.68,-3.1,0.28,-0.68,-3.1,31.33,-22.22,1.72
0.26,-0.61,-2.69,0.26,-0.61,-2.69,29.91,-22.22,2.06
0.31,-0.81,-2.93,0.31,-0.81,-2.93,30.62,-21.5,3.44
0.46,-0.7,-2.67,0.46,-0.7,-2.67,29.38,-22.75,2.93
0.42,-1.07,-2.7,0.42,-1.07,-2.7,29.19,-23.3,4.13
-0.04,-0.71,-2.38,-0.04,-0.71,-2.38,28.48,-21.86,3.1
-0.26,-0.96,-2.3,-0.26,-0.96,-2.3,29.38,-23.11,3.27
-0.19,-0.91,-2.25,-0.19,-0.91,-2.25,26.34,-22.58,2.75
0.11,-0.94,-2.19,0.11,-0.94,-2.19,25.98,-22.22,2.41
0.3,-1,-1.99,0.3,-1,-1.99,24.92,-21.86,3.79
0.34,-0.94,-1.96,0.34,-0.94,-1.96,25.09,-20.97,2.93
0.17,-1.04,-1.79,0.17,-1.04,-1.79,25.09,-21.67,3.62
0.06,-0.8,-2.07,0.06,-0.8,-2.07,24.39,-23.11,3.62
-0.16,-0.53,-1.71,-0.16,-0.53,-1.71,24.73,-20.97,2.93
-0.35,-0.7,-1.54,-0.35,-0.7,-1.54,22.97,-21.31,3.96
-0.44,-0.45,-1.67,-0.44,-0.45,-1.67,23.67,-20.61,3.62
-0.3,-0.67,-1.27,-0.3,-0.67,-1.27,21.72,-21.5,2.75
-0.19,-0.41,-1.42,-0.19,-0.41,-1.42,21,-21.14,3.79
-0.19,-0.41,-1.42,-0.19,-0.41,-1.42,21,-21.14,3.79
-0.17,-0.63,-1.48,-0.17,-0.63,-1.48,22.25,-21.67,2.24
-0.24,-0.52,-1.43,-0.24,-0.52,-1.43,18.86,-20.42,3.44
0.25,-0.45,-1.12,0.25,-0.45,-1.12,19.05,-20.61,3.27
0.25,-0.45,-1.12,0.25,-0.45,-1.12,19.05,-20.61,3.27
-0.13,-0.53,-1.27,-0.13,-0.53,-1.27,18.16,-20.06,3.1
-0.4,0.09,-1.01,-0.4,0.09,-1.01,17.27,-19.89,4.3
-0.48,-0.3,-1.26,-0.48,-0.3,-1.26,17.97,-19.17,2.24
-0.48,-0.3,-1.26,-0.48,-0.3,-1.26,17.97,-19.17,2.24
-0.48,0.02,-1.03,-0.48,0.02,-1.03,15.13,-19.17,3.62
-0.45,-0.61,-1.26,-0.45,-0.61,-1.26,16.55,-18.09,3.96
-0.48,0.43,-0.73,-0.48,0.43,-0.73,15.13,-19.17,3.96
-0.39,-0.11,-0.94,-0.39,-0.11,-0.94,15.48,-18.09,3.96
-0.39,-0.11,-0.94,-0.39,-0.11,-0.94,15.48,-18.09,3.96
-0.42,0.21,-1.02,-0.42,0.21,-1.02,13.88,-16.48,3.1
-0.4,0.07,-0.77,-0.4,0.07,-0.77,12.81,-16.48,3.79
-0.35,-0.06,-0.62,-0.35,-0.06,-0.62,15.13,-15.95,2.93
-0.34,0.27,-0.62,-0.34,0.27,-0.62,13.17,-16.12,3.79
-0.41,0.09,-0.55,-0.41,0.09,-0.55,13.53,-16.48,2.41
-0.41,0.34,-0.68,-0.41,0.34,-0.68,12.46,-15.77,3.44
-0.45,0.06,-0.45,-0.45,0.06,-0.45,11.39,-15.77,4.13
-0.37,0.37,-0.59,-0.37,0.37,-0.59,12.99,-14.88,3.27
-0.36,0.53,-0.29,-0.36,0.53,-0.29,10.68,-14.7,3.44
-0.31,0.5,-0.48,-0.31,0.5,-0.48,10.5,-13.8,3.27
-0.31,0.5,-0.48,-0.31,0.5,-0.48,10.5,-13.8,3.27
-0.28,0.42,-0.33,-0.28,0.42,-0.33,10.86,-13.08,2.93
-0.32,0.32,-0.34,-0.32,0.32,-0.34,9.61,-12.54,5.16
-0.42,0.34,-0.34,-0.42,0.34,-0.34,9.43,-9.85,4.65
-0.46,0.18,-0.22,-0.46,0.18,-0.22,8.54,-11.47,4.48
-0.41,0.22,-0.17,-0.41,0.22,-0.17,8.72,-10.93,2.58
-0.2,0.28,-0.17,-0.2,0.28,-0.17,8.19,-8.96,4.82
-0.14,0.29,-0.15,-0.14,0.29,-0.15,6.94,-11.65,3.96
-0.28,0.34,-0.13,-0.28,0.34,-0.13,6.59,-9.13,4.3
-0.21,0.23,-0.26,-0.21,0.23,-0.26,8.19,-8.96,4.48
-0.13,0.4,-0.13,-0.13,0.4,-0.13,6.05,-7.53,4.82
-0.02,0.21,-0.09,-0.02,0.21,-0.09,5.34,-8.24,3.1
-0.02,0.21,-0.09,-0.02,0.21,-0.09,5.34,-8.24,3.1
-0.04,0.38,-0.24,-0.04,0.38,-0.24,6.23,-6.99,3.96
-0.03,0.37,-0.06,-0.03,0.37,-0.06,6.05,-6.45,4.48
-0.12,0.39,0,-0.12,0.39,0,4.8,-7.35,4.99
-0.16,0.41,-0.02,-0.16,0.41,-0.02,5.52,-7.7,5.68
-0.1,0.46,0.01,-0.1,0.46,0.01,5.16,-5.55,4.99
